№;Тип;Адрес;Кадастровый номер;Категория земель;Разрешенное использование;Разрешенное использование (выписка);Площадь, м²;Кадастровая стоимость;Право;Ограничение;Особые отметки
1;Здание (Нежилое здание, Трансформаторная подстанция с оборудованием и кабельными коммуникациями), (ТП);ул. Удмуртская, д. 3, к. 1, стр. 3;52:18:0050135:90;*;*;*;53,3;1 380 686,93 ₽;№ 52-01/31-7 /2002-224  от 21.02.2002  (Собственность);НЕТ;НЕТ
2;Здание (Нежилое здание, Отопительный пункт административного здания с подводкой газопровода), (котельная); ул. Удмуртская, д. 3, к. 1, стр. 2;52:18:0050135:89;*;*;*;7,3;179 290,85 ₽;№ 52-01/31-7/2002-223  от 21.02.2002  (Собственность);НЕТ;НЕТ
3;Здание (Нежилое здание, Административно-бытовое здание), (туалет);ул. Удмуртская, д. 3, к. 1, стр. 4;52:18:0050135:91;*;*;*;52,9;2 399 610,13 ₽;№ 52-01/31-7/2002-225  от 21.02.2002  (Собственность);НЕТ;НЕТ
4;Ливневая канализация;ул. Удмуртская, д. 3;52:18:0050135:222;*;*;*;391,2;13 287,72 ₽;№ 52-01/31-7 /2002-226  от 21.02.2002  (Собственность);НЕТ;НЕТ
5;Земельный участок;ул. Удмуртская, 3/1;52:18:0050135:11;Земли населенных пунктов;;"Под торговый комплекс ""Арсенал"", для иных видов жилой застройки";14358;27 985 464,96 ₽;№ 52-52-01/359/2013-118  от 02.12.2013  (Собственность);НЕТ;НЕТ
6;Нежилое помещение ;ул. Удмуртская, д. 3, к. 1, стр. 1, пом. П1;52:18:0050135:385;*;*;*;450,7;14 081 161,51 ₽;№ 52:18:0050135:385-52/124/2019-1  от 08.07.2019  (Собственность);НЕТ;НЕТ
7;Нежилое помещение ;ул. Удмуртская, д. 3, к. 1, стр. 1, пом. П2;52:18:0050135:384;*;*;*;287,2;8 972 952,26 ₽;№ 52:18:0050135:384-52/124/2019-1  от 08.07.2019  (Собственность);НЕТ;НЕТ
8;Земельный участок под бесплатную парковку;ул. Удмуртская, д. 3;52:18:0050135:153;*;*;"Под бесплатную парковку транспортных средств посетителей торгового комплекса ""Арсенал"", для иных видов жилой застройки ";1872;4 185 174,24 ₽;НЕТ;№ 52-52-01/021/2013-070  от 22.01.2013  (Аренда (в том числе, субаренда));НЕТ
9;Земельный участок под бесплатную парковку;ул. Удмуртская, д. 3;52:18:0050135:21;Земли населенных пунктов;;Обслуживание автотранспорта (бесплатная парковка), для иных видов жилой застройки;510;1 303 279,50 ₽;НЕТ;№ 52-52-01/530/2012-730  от 14.11.2012  (Аренда (в том числе, субаренда));НЕТ
10;Земельный участок под платную парковку (НООРТИ) ;ул. Удмуртская, (около административного здания НООРТИ);52:18:0050135:27;Земли населенных пунктов;;"Под платную парковку автомашин, прибывающих в торговый комплекс ""Арсенал"" для иных видов жилой застройки";3950;8 133 247,50 ₽;НЕТ;№ 52-52-01/322/2013-273  от 15.10.2013  (Аренда (в том числе, субаренда));НЕТ
11;Земельный участок под бесплатную парковку;ул. Удмуртская, д. 3;52:18:0050135:15;Земли населенных пунктов;;"Под бесплатную парковку автомобилей посетителей торгового комплекса ""Арсенал"", для иных видов жилой застройки ";3150;6 542 424,00 ₽;НЕТ;№ 52-52-01/110/2013-155  от 08.04.2013  (Аренда (в том числе, субаренда));НЕТ
12;Земельный участок под бесплатную парковку;ул. Удмуртская, д. 3;52:18:0050135:14;Земли населенных пунктов;;"Под бесплатную парковку автомобилей посетителей торгового комплекса ""Арсенал"", для иных видов жилой застройки ";2250;4 898 925,00 ₽;НЕТ;№ 52-52-01/110/2013-157  от 08.04.2013  (Аренда (в том числе, субаренда));НЕТ
13;Земельный участок под бесплатную парковку;ул. Удмуртская, д. 3;52:18:0050135:22;Земли населенных пунктов;;"Под бесплатную парковку автомобилей посетителей торгового комплекса ""Арсенал"", для иных видов жилой застройки ";1260;2 957 320,80 ₽;НЕТ;№ 52-52-01/110/2013-159  от 08.04.2013  (Аренда (в том числе, субаренда));НЕТ
14;Нежилое помещение;ул. Почтовый съезд, д. 3А, пом. П7;52:18:0060026:156;*;*;*;155,9;183 433,50 ₽;№ 52-52-01/095/2008-235  от 06.05.2008  (Собственность);НЕТ;НЕТ
15;Здание (Нежилое здание, нежилое строение), (котельная);ул. Почтовый съезд, д. 3Б;52:18:0060026:61;*;*;*;17,4;907 523,80 ₽;№ 52-01/01-53/2004-184  от 31.03.2004  (Собственность);НЕТ;НЕТ
16;Земельный участок;ул. Почтовый съезд, д. 3Б;52:18:0060026:19;Земли населенных пунктов;Под здание котельной с подсобным помещением;*;37;78 715,28 ₽;№ 52-52-01/062/2009-050  от 06.05.2009  (Собственность);№ 52-52-01/263/2005-56  от 26.04.2005  (Иные ограничения (обременения) прав);НЕТ
17; Квартира, Жилое помещение;ул. Бекетова, д. 6А, кв. 1;52:18:0070179:64;*;*;*;30,4;1 773 423,52 ₽;№ 52-52-01/188/2008-171  от 09.07.2008  (Собственность);НЕТ;НЕТ
18;Земельный участок под благоустройство;ул. Бекетова, у дома 6А;52:18:0070179:3;Земли населенных пунктов;Для общего пользования (уличная сеть);*;80;756 900,80 ₽;НЕТ;№ 52-52-01/099/2007-88  от 14.05.2007  (Аренда (в том числе, субаренда));НЕТ
19;Земельный участок под благоустройство;ул. Бекетова, д. 6А;52:18:070179:0002;Земли населенных пунктов;Для общего пользования (уличная сеть);*;409;920 753,07 ₽;НЕТ;№ 52-01/01-10/2002-384  от 05.03.2002  (Аренда (в том числе, субаренда));НЕТ
20;Доля под зданием;ул. Бекетова, д. 6А;52:18:0070179:1;Земли населенных пунктов;Для общего пользования (уличная сеть);*;1091;2 456 091,93 ₽;НЕТ;НЕТ;НЕТ
21;Нежилое помещение;ул. Минина, д. 23А, пом. П4 ;52:18:0060093:137;*;*;*;88;103 541,68 ₽;№ 52:18:0060093:137-52/124/2019-2  от 01.04.2019  (Собственность);№ 52:18:0060093:137-52/124/2019-3  от 01.04.2019  (Залог в силу закона);НЕТ
22;Нежилое помещение;ул. Минина, д. 23А, пом. П1;52:18:0060093:144;*;*;*;134,3;158 018,72 ₽;№ 52:18:0060093:144-52/124/2019-2  от 01.04.2019  (Собственность);№ 52:18:0060093:144-52/124/2019-3  от 01.04.2019  (Залог в силу закона);НЕТ
23;Нежилое помещение;ул. Минина, д. 23А, пом. П5;52:18:0060093:139;*;*;*;107,1;817 667,80 ₽;№ 52:18:0060093:139-52/124/2019-2  от 01.04.2019  (Собственность);№ 52:18:0060093:139-52/124/2019-3  от 01.04.2019  (Залог в силу закона);НЕТ
24;Нежилое помещение;ул. Бекетова, д. 6А, пом. П7;52:18:0070179:1082;*;*;*;577,6;679 609,94 ₽;№ 52:18:0070179:1082-52/125/2019-1  от 27.12.2019  (Собственность);НЕТ;НЕТ
25;Нежилое помещение;ул. Бекетова, д. 6А, пом. П6;52:18:0070179:1083;*;*;*;495,8;583 363,24 ₽;№ 52:18:0070179:1083-52/125/2019-1  от 27.12.2019  (Собственность);НЕТ;НЕТ
26;Здание (Нежилое здание, торговый павильон, I очередь строительства);Удмуртская, д. 3, к. 1;52:18:0050135:359;*;*;*;1349,5;12 328 762,10 ₽;№ 52:18:0050135:359-52/125/2018-1  от 25.01.2018  (Собственность);НЕТ;НЕТ
27;Земельный участок;ул. Почтовый съезд, д. 3А;52:18:0060026:155;Земли населенных пунктов;Для размещения иных объектов, допустимых в жилых зонах и не перечисленных в классификаторе;*;279;593 555,76 ₽;"№ 52-52/124-52/021/831/2015-8952/2  от 13.05.2015  (Общая долевая собственность) 
№ 52-52/124-52/021/831/2015-8952/1  от 13.05.2015  (Общая долевая собственность)
№ 52-52/124-52/021/831/2015-8952/4  от 13.05.2015  (Общая долевая собственность)
№ 52-52/124-52/021/831/2015-8952/3  от 13.05.2015  (Общая долевая собственность)";"№ 52:18:0060026:155-52/125/2018-1  от 15.03.2018  (Залог в силу закона)
№ 52:18:0060026:155-52/124/2020-2  от 19.03.2020  (Доверительное управление)";НЕТ
